adduser 3.118ubuntu5
motd-news-config 12ubuntu4.7
mount 2.37.2-4ubuntu3.4
mtr-tiny 0.95-1
multipath-tools 0.8.8-1ubuntu1.22.04.4
mysql-client-8.0 8.0.39-0ubuntu0.22.04.1
mysql-client-core-8.0 8.0.39-0ubuntu0.22.04.1
mysql-common 5.8+1.0.8
mysql-server 8.0.39-0ubuntu0.22.04.1
mysql-server-8.0 8.0.39-0ubuntu0.22.04.1
mysql-server-core-8.0 8.0.39-0ubuntu0.22.04.1
nano 6.2-1
ncurses-base 6.3-2ubuntu0.1
ncurses-bin 6.3-2ubuntu0.1
ncurses-term 6.3-2ubuntu0.1
needrestart 3.5-5ubuntu2.1
netbase 6.3
netcat-openbsd 1.218-4ubuntu1
netplan.io 0.106.1-7ubuntu0.22.04.4
nftables 1.0.2-1ubuntu3
ntfs-3g 1:2021.8.22-3ubuntu1.2
open-iscsi 2.1.5-1ubuntu1
openssh-client 1:8.9p1-3ubuntu0.10
openssh-server 1:8.9p1-3ubuntu0.10
openssh-sftp-server 1:8.9p1-3ubuntu0.10
openssl 3.0.2-0ubuntu1.18
overlayroot 0.47ubuntu1
p11-kit 0.24.0-6build1
p11-kit-modules 0.24.0-6build1
packagekit 1.2.5-2ubuntu2
packagekit-tools 1.2.5-2ubuntu2
parted 3.4-2build1
passwd 1:4.8.1-2ubuntu2.2
pastebinit 1.5.1-1ubuntu1
patch 2.7.6-7build2
pci.ids 0.0~2022.01.22-1
pciutils 1:3.7.0-6
perl 5.34.0-3ubuntu1.3
perl-base 5.34.0-3ubuntu1.3
perl-modules-5.34 5.34.0-3ubuntu1.3
pigz 2.6-1
pinentry-curses 1.1.1-1build2
pkexec 0.105-33
pkg-config 0.29.2-1ubuntu3
plymouth 0.9.5+git20211018-1ubuntu3
plymouth-theme-ubuntu-text 0.9.5+git20211018-1ubuntu3
policykit-1 0.105-33
polkitd 0.105-33
pollinate 4.33-3ubuntu2
postgresql-14 14.13-1.pgdg22.04+1
postgresql-14-postgis-3 3.4.3+dfsg-2.pgdg22.04+1
postgresql-14-postgis-3-scripts 3.4.3+dfsg-2.pgdg22.04+1
postgresql-client-14 14.13-1.pgdg22.04+1
postgresql-client-common 264.pgdg22.04+1
postgresql-common 264.pgdg22.04+1
powermgmt-base 1.36
powerpc-ibm-utils 1.3.9-1ubuntu1
powerpc-utils 1.3.9-1ubuntu1
ppc64-diag 2.7.7-1
procps 2:3.3.17-6ubuntu2.1
proj-data 8.2.1-1
psmisc 23.4-2build3
publicsuffix 20211207.1025-1
python-apt-common 2.4.0ubuntu4
python-babel-localedata 2.8.0+dfsg.1-7
python3 3.10.6-1~22.04.1
python3-apport 2.20.11-0ubuntu82.6
python3-apt 2.4.0ubuntu4
python3-attr 21.2.0-1
python3-automat 20.2.0-1
python3-babel 2.8.0+dfsg.1-7
python3-bcrypt 3.2.0-1build1
python3-blinker 1.4+dfsg1-0.4
python3-bs4 4.10.0-2
python3-certifi 2020.6.20-1
python3-cffi-backend 1.15.0-1build2
python3-chardet 4.0.0-1
python3-click 8.0.3-1
python3-colorama 0.4.4-1
python3-commandnotfound 22.04.0
python3-configobj 5.0.6-5ubuntu0.1
python3-constantly 15.1.0-2
python3-cryptography 3.4.8-1ubuntu2.2
python3-dbus 1.2.18-3build1
python3-debconf 1.5.79ubuntu1
python3-debian 0.1.43ubuntu1.1
python3-dev 3.10.6-1~22.04.1
python3-distro 1.7.0-1
python3-distro-info 1.1ubuntu0.2
python3-distupgrade 1:22.04.20
python3-distutils 3.10.8-1~22.04
python3-gdbm 3.10.8-1~22.04
python3-gi 3.42.1-0ubuntu1
python3-hamcrest 2.0.2-2
python3-html5lib 1.1-3
python3-httplib2 0.20.2-2
python3-hyperlink 21.0.0-3
python3-idna 3.3-1ubuntu0.1
python3-importlib-metadata 4.6.4-1
python3-incremental 21.3.0-1
python3-jeepney 0.7.1-3
python3-jinja2 3.0.3-1ubuntu0.2
python3-json-pointer 2.0-0ubuntu1
python3-jsonpatch 1.32-2
python3-jsonschema 3.2.0-0ubuntu2
python3-jwt 2.3.0-1ubuntu0.2
python3-keyring 23.5.0-1
python3-launchpadlib 1.10.16-1
python3-lazr.restfulclient 0.14.4-1
python3-lazr.uri 1.0.6-2
python3-lib2to3 3.10.8-1~22.04
python3-lxml 4.8.0-1build1
python3-magic 2:0.4.24-2
python3-markupsafe 2.0.1-2build1
python3-minimal 3.10.6-1~22.04.1
python3-more-itertools 8.10.0-2
python3-netifaces 0.11.0-1build2
python3-newt 0.52.21-5ubuntu2
python3-oauthlib 3.2.0-1ubuntu0.1
python3-openssl 21.0.0-1
python3-pexpect 4.8.0-2ubuntu1
python3-pip 22.0.2+dfsg-1ubuntu0.4
python3-pkg-resources 59.6.0-1.2ubuntu0.22.04.2
python3-problem-report 2.20.11-0ubuntu82.6
python3-ptyprocess 0.7.0-3
python3-pyasn1 0.4.8-1
python3-pyasn1-modules 0.2.1-1
python3-pygments 2.11.2+dfsg-2
python3-pyparsing 2.4.7-1
python3-pyrsistent 0.18.1-1build1
python3-requests 2.25.1+dfsg-2ubuntu0.1
python3-secretstorage 3.3.1-1
python3-serial 3.5-1
python3-service-identity 18.1.0-6
python3-setuptools 59.6.0-1.2ubuntu0.22.04.2
python3-six 1.16.0-3ubuntu1
python3-software-properties 0.99.22.9
python3-soupsieve 2.3.1-1
python3-systemd 234-3ubuntu2
python3-twisted 22.1.0-2ubuntu2.5
python3-tz 2022.1-1ubuntu0.22.04.1
python3-update-manager 1:22.04.21
python3-urllib3 1.26.5-1~exp1ubuntu0.1
python3-wadllib 1.3.6-1
python3-webencodings 0.5.1-4
python3-wheel 0.37.1-2ubuntu0.22.04.1
python3-yaml 5.4.1-1ubuntu1
python3-zipp 1.0.0-3ubuntu0.1
python3-zope.interface 5.4.0-1build1
python3.10 3.10.12-1~22.04.6
python3.10-dev 3.10.12-1~22.04.6
python3.10-minimal 3.10.12-1~22.04.6
rake 13.0.6-2
readline-common 8.1.2-1
redis-server 5:6.0.16-1ubuntu1
redis-tools 5:6.0.16-1ubuntu1
rpcsvc-proto 1.4.2-0ubuntu6
rsync 3.2.7-0ubuntu0.22.04.2
ruby 1:3.0~exp1
ruby-net-telnet 0.1.1-2
ruby-rubygems 3.3.5-2
ruby-webrick 1.7.0-3ubuntu0.1
ruby-xmlrpc 0.3.2-1ubuntu0.1
ruby3.0 3.0.2-7ubuntu2.7
rubygems-integration 1.18
run-one 1.17-0ubuntu1
runc 1.1.12-0ubuntu2~22.04.1
rustc 1.75.0+dfsg0ubuntu1~bpo0-0ubuntu0.22.04
scons 4.0.1+dfsg-2
screen 4.9.0-1
sed 4.8-1ubuntu2
sensible-utils 0.0.17
servicelog 1.1.16-1
sg3-utils 1.46-1ubuntu0.22.04.1
sg3-utils-udev 1.46-1ubuntu0.22.04.1
shared-mime-info 2.1-2
snapd 2.63+22.04ubuntu0.1
software-properties-common 0.99.22.9
sosreport 4.5.6-0ubuntu1~22.04.2
sqlite 2.8.17-15fakesync1build1
sqlite3 3.37.2-2ubuntu0.3
squashfs-tools 1:4.5-3build1
ssh-import-id 5.11-0ubuntu1
ssl-cert 1.1.2
strace 5.16-0ubuntu3
subversion 1.14.1-3ubuntu0.22.04.1
sudo 1.9.9-1ubuntu2.4
systemd 249.11-0ubuntu3.12
systemd-hwe-hwdb 249.11.5
systemd-sysv 249.11-0ubuntu3.12
systemd-timesyncd 249.11-0ubuntu3.12
sysvinit-utils 3.01-1ubuntu1
tar 1.34+dfsg-1ubuntu0.1.22.04.2
tcl 8.6.11+1build2
tcl-dev 8.6.11+1build2
tcl-expect 5.45.4-2build1
tcl8.6 8.6.12+dfsg-1build1
tcl8.6-dev 8.6.12+dfsg-1build1
tcpdump 4.99.1-3ubuntu0.2
telnet 0.17-44build1
temurin-11-jdk 11.0.24.0.0+8
thin-provisioning-tools 0.9.0-2ubuntu1
time 1.9-0.1build2
tk 8.6.11+1build2
tk-dev 8.6.11+1build2
tk8.6 8.6.12-1build1
tk8.6-dev 8.6.12-1build1
tmux 3.2a-4ubuntu0.2
tnftp 20210827-4build1
tpm-udev 0.6
tzdata 2024a-0ubuntu0.22.04.1
ubuntu-advantage-tools 34~22.04
ubuntu-keyring 2021.03.26
ubuntu-minimal 1.481.4
ubuntu-pro-client 34~22.04
ubuntu-pro-client-l10n 34~22.04
ubuntu-release-upgrader-core 1:22.04.20
ubuntu-server 1.481.4
ucf 3.0043
udev 249.11-0ubuntu3.12
ufw 0.36.1-4ubuntu0.1
unattended-upgrades 2.8ubuntu1
unixodbc-common 2.3.9-5ubuntu0.1
unzip 6.0-26ubuntu3.2
update-manager-core 1:22.04.21
update-notifier-common 3.192.54.8
usb-modeswitch 2.6.1-3ubuntu2
usb-modeswitch-data 20191128-4
usb.ids 2022.04.02-1
usbutils 1:014-1build1
usrmerge 25ubuntu2
util-linux 2.37.2-4ubuntu3.4
uuid-dev 2.37.2-4ubuntu3.4
uuid-runtime 2.37.2-4ubuntu3.4
vim 2:8.2.3995-1ubuntu2.19
vim-common 2:8.2.3995-1ubuntu2.19
vim-runtime 2:8.2.3995-1ubuntu2.19
vim-tiny 2:8.2.3995-1ubuntu2.19
wget 1.21.2-2ubuntu1.1
whiptail 0.52.21-5ubuntu2
x11-common 1:7.7+23ubuntu2
x11proto-core-dev 2021.5-1
x11proto-dev 2021.5-1
xauth 1:1.1-1build2
xdg-user-dirs 0.17-2ubuntu4
xfsprogs 5.13.0-1ubuntu2
xkb-data 2.33-1
xorg-sgml-doctools 1:1.11-1.1
xtrans-dev 1.4.0-1
xxd 2:8.2.3995-1ubuntu2.19
xz-utils 5.2.5-2ubuntu1
zlib1g 1:1.2.11.dfsg-2ubuntu9.2
zlib1g-dev 1:1.2.11.dfsg-2ubuntu9.2
zstd 1.4.8+dfsg-3build1
